tower_id,latitude,longitude,operator,technology,data_source
32374529,31.4488,74.2972,1,LTE,REAL PUBLIC DATA
30774579,31.4519,74.2989,1,LTE,REAL PUBLIC DATA
30774559,31.454,74.3,1,LTE,REAL PUBLIC DATA
30774560,31.4548,74.3004,1,LTE,REAL PUBLIC DATA
30774561,31.4559,74.301,1,LTE,REAL PUBLIC DATA
32502019,31.4578,74.302,1,LTE,REAL PUBLIC DATA
32502018,31.4605,74.3034,1,LTE,REAL PUBLIC DATA
31080195,31.4637,74.3051,1,LTE,REAL PUBLIC DATA
31080193,31.4657,74.3062,1,LTE,REAL PUBLIC DATA
32772610,31.4668,74.3068,1,LTE,REAL PUBLIC DATA
32285965,31.4763,74.3358,1,LTE,REAL PUBLIC DATA
30774805,31.4768,74.3377,1,LTE,REAL PUBLIC DATA
32976151,31.4759,74.3408,1,LTE,REAL PUBLIC DATA
32976149,31.4756,74.3423,1,LTE,REAL PUBLIC DATA
31288835,31.4757,74.342,1,LTE,REAL PUBLIC DATA
30774785,31.4764,74.3364,1,LTE,REAL PUBLIC DATA
31569153,31.476,74.335,1,LTE,REAL PUBLIC DATA
30737411,31.4741,74.329,1,LTE,REAL PUBLIC DATA
31777033,31.4713,74.3196,1,LTE,REAL PUBLIC DATA
32772619,31.4674,74.3076,1,LTE,REAL PUBLIC DATA
31798284,31.4658,74.2922,1,LTE,REAL PUBLIC DATA
31608326,31.4538,74.2744,1,LTE,REAL PUBLIC DATA
32480810,31.4459,74.2688,1,LTE,REAL PUBLIC DATA
32216323,31.4346,74.2578,1,LTE,REAL PUBLIC DATA
33025804,31.4094,74.2613,1,LTE,REAL PUBLIC DATA
30978819,31.3948,74.2636,1,LTE,REAL PUBLIC DATA
31964930,31.4419,74.212,3,LTE,REAL PUBLIC DATA
31964161,31.4352,74.2103,3,LTE,REAL PUBLIC DATA
32452098,31.3946,74.2636,7,LTE,REAL PUBLIC DATA
1219509,31.4395,74.2041,3,UMTS,REAL PUBLIC DATA
31964419,31.4358,74.2108,3,LTE,REAL PUBLIC DATA
31964418,31.438,74.213,3,LTE,REAL PUBLIC DATA
31964162,31.4331,74.2139,3,LTE,REAL PUBLIC DATA
32216577,31.6014,74.4689,1,LTE,REAL PUBLIC DATA
32118531,31.4667,74.2554,1,LTE,REAL PUBLIC DATA
32451842,31.4667,74.2554,1,LTE,REAL PUBLIC DATA
32451842,31.4667,74.2554,7,LTE,REAL PUBLIC DATA
26688725,31.6103,74.2529,4,LTE,REAL PUBLIC DATA
26708093,31.6104,74.2528,4,LTE,REAL PUBLIC DATA
26687523,31.6103,74.2526,4,LTE,REAL PUBLIC DATA
30843926,31.4753,74.3035,1,LTE,REAL PUBLIC DATA
207926530,31.6085,74.2144,3,LTE,REAL PUBLIC DATA
207757571,31.6165,74.2122,3,LTE,REAL PUBLIC DATA
207926630,31.616,74.2133,3,LTE,REAL PUBLIC DATA
207757159,31.616,74.2133,3,LTE,REAL PUBLIC DATA
207803084,31.616,74.2133,3,LTE,REAL PUBLIC DATA
207757259,31.6014,74.2163,3,LTE,REAL PUBLIC DATA
207757571,31.6165,74.2122,6,LTE,REAL PUBLIC DATA
207757671,31.6165,74.2122,6,LTE,REAL PUBLIC DATA
207757771,31.6165,74.2122,6,LTE,REAL PUBLIC DATA
207926017,31.6099,74.2229,6,LTE,REAL PUBLIC DATA
207757669,31.6237,74.2335,6,LTE,REAL PUBLIC DATA
207926117,31.6237,74.2335,6,LTE,REAL PUBLIC DATA
207926018,31.6237,74.2335,6,LTE,REAL PUBLIC DATA
207757159,31.6241,74.2471,6,LTE,REAL PUBLIC DATA
212371301,31.6097,74.2486,6,LTE,REAL PUBLIC DATA
207408387,31.6097,74.2486,6,LTE,REAL PUBLIC DATA
207405770,31.6097,74.2486,6,LTE,REAL PUBLIC DATA
207408586,31.6097,74.2486,6,LTE,REAL PUBLIC DATA
207408386,31.6046,74.2665,6,LTE,REAL PUBLIC DATA
207405670,31.6046,74.2665,6,LTE,REAL PUBLIC DATA
207406951,31.6046,74.2665,6,LTE,REAL PUBLIC DATA
207405571,31.6066,74.2629,6,LTE,REAL PUBLIC DATA
207802881,31.5956,74.2306,6,LTE,REAL PUBLIC DATA
207926630,31.6165,74.2122,6,LTE,REAL PUBLIC DATA
207926730,31.616,74.2133,6,LTE,REAL PUBLIC DATA
207803084,31.6176,74.2148,6,LTE,REAL PUBLIC DATA
207494603,31.4465,74.3035,6,LTE,REAL PUBLIC DATA
207764485,31.6085,74.2144,3,LTE,REAL PUBLIC DATA
207401731,31.6142,74.2211,3,LTE,REAL PUBLIC DATA
207757571,31.6165,74.2122,4,LTE,REAL PUBLIC DATA
207757671,31.6099,74.2229,4,LTE,REAL PUBLIC DATA
207926630,31.6099,74.2229,4,LTE,REAL PUBLIC DATA
207657318,31.6112,74.2222,4,LTE,REAL PUBLIC DATA
207757771,31.6088,74.2251,4,LTE,REAL PUBLIC DATA
207764582,31.622,74.2086,4,LTE,REAL PUBLIC DATA
207764682,31.622,74.2086,4,LTE,REAL PUBLIC DATA
207657218,31.6165,74.2122,4,LTE,REAL PUBLIC DATA
207803084,31.6165,74.2122,4,LTE,REAL PUBLIC DATA
207853001,31.6014,74.2163,4,LTE,REAL PUBLIC DATA
207852901,31.6014,74.2163,4,LTE,REAL PUBLIC DATA
207852801,31.6014,74.2163,4,LTE,REAL PUBLIC DATA
207401831,31.6088,74.2251,4,LTE,REAL PUBLIC DATA
27182,31.6112,74.2222,4,GSM,REAL PUBLIC DATA
207401731,31.6165,74.2122,6,LTE,REAL PUBLIC DATA
207657318,31.6142,74.2211,3,LTE,REAL PUBLIC DATA
207757771,31.6088,74.2251,3,LTE,REAL PUBLIC DATA
207657218,31.6132,74.213,3,LTE,REAL PUBLIC DATA
212371201,31.6132,74.213,3,LTE,REAL PUBLIC DATA
27182,31.6099,74.2229,3,LTE,REAL PUBLIC DATA
207926529,31.6132,74.213,3,LTE,REAL PUBLIC DATA
207764582,31.6134,74.2317,3,LTE,REAL PUBLIC DATA
207408386,31.6076,74.2625,3,LTE,REAL PUBLIC DATA
207406851,31.6076,74.2625,3,LTE,REAL PUBLIC DATA
207757057,31.6076,74.2625,3,LTE,REAL PUBLIC DATA
207406951,31.6076,74.2625,3,LTE,REAL PUBLIC DATA
207405670,31.6104,74.268,3,LTE,REAL PUBLIC DATA
207408586,31.6101,74.2632,3,LTE,REAL PUBLIC DATA
31004163,31.4526,74.2615,3,LTE,REAL PUBLIC DATA
32060424,31.6551,74.2956,1,LTE,REAL PUBLIC DATA
33105666,31.5647,74.3797,1,LTE,REAL PUBLIC DATA
33105676,31.5649,74.3797,1,LTE,REAL PUBLIC DATA
29319,31.565,74.3796,1,GSM,REAL PUBLIC DATA
32014594,31.5643,74.3795,1,LTE,REAL PUBLIC DATA
33105665,31.5672,74.3807,1,LTE,REAL PUBLIC DATA
32014614,31.5646,74.3794,1,LTE,REAL PUBLIC DATA
30724099,31.5747,74.3811,1,LTE,REAL PUBLIC DATA
31934467,31.5717,74.3809,1,LTE,REAL PUBLIC DATA
33116930,31.579,74.3812,1,LTE,REAL PUBLIC DATA
32840968,31.5837,74.3812,1,LTE,REAL PUBLIC DATA
32840963,31.5832,74.3791,1,LTE,REAL PUBLIC DATA
30820611,31.581,74.3742,1,LTE,REAL PUBLIC DATA
32840962,31.5775,74.3617,1,LTE,REAL PUBLIC DATA
31087874,31.5789,74.369,1,LTE,REAL PUBLIC DATA
32497667,31.5762,74.3539,1,LTE,REAL PUBLIC DATA
30844163,31.5741,74.3487,1,LTE,REAL PUBLIC DATA
30914818,31.5665,74.3457,1,LTE,REAL PUBLIC DATA
30936834,31.565,74.3447,1,LTE,REAL PUBLIC DATA
30776578,31.5665,74.3421,1,LTE,REAL PUBLIC DATA
30914819,31.5717,74.3383,1,LTE,REAL PUBLIC DATA
30858497,31.5732,74.3373,1,LTE,REAL PUBLIC DATA
31442946,31.5753,74.336,1,LTE,REAL PUBLIC DATA
31442965,31.5772,74.3343,1,LTE,REAL PUBLIC DATA
32826113,31.5832,74.3303,1,LTE,REAL PUBLIC DATA
31068674,31.5868,74.3254,1,LTE,REAL PUBLIC DATA
31068673,31.5876,74.3221,1,LTE,REAL PUBLIC DATA
33271299,31.5892,74.3178,1,LTE,REAL PUBLIC DATA
33278466,31.5936,74.3168,1,LTE,REAL PUBLIC DATA
32821763,31.5954,74.3116,1,LTE,REAL PUBLIC DATA
30877729,31.5911,74.3065,1,LTE,REAL PUBLIC DATA
30877727,31.5924,74.304,1,LTE,REAL PUBLIC DATA
30764552,31.5985,74.2986,1,LTE,REAL PUBLIC DATA
31520257,31.5951,74.3014,1,LTE,REAL PUBLIC DATA
32460035,31.6001,74.2972,1,LTE,REAL PUBLIC DATA
32460034,31.5946,74.295,1,LTE,REAL PUBLIC DATA
33228807,31.5837,74.2909,1,LTE,REAL PUBLIC DATA
32448791,31.5753,74.2863,1,LTE,REAL PUBLIC DATA
33165570,31.5638,74.28,1,LTE,REAL PUBLIC DATA
